,MElightsteelblue,MEcoral1,MEivory,MEgreenyellow,MElavenderblush3,MEplum
A1_S73,0.225173793,0.115028256,-0.123822733,-0.259501044,-0.163650103,-0.11807912
A2_S74,0.211919758,0.083364476,-0.117835012,-0.224421575,-0.148201458,-0.147784224
A3_S75,0.186451116,0.082419679,-0.132717555,-0.276033566,-0.096854382,-0.208533572
A5_S76,0.273201189,0.097718246,-0.150104009,-0.257967647,-0.043087674,0.031152699
A6_S77,0.203991901,0.066232465,-0.120090415,-0.207490148,-0.067912104,0.060718133
A7_S777,0.203991901,0.066232465,-0.120090415,-0.207490148,-0.067912104,0.060718133
AC1_S78,-0.196291304,-0.231512319,-0.081233302,-0.086709669,0.127411576,0.20113972
AC2_S79,-0.20433659,-0.211323743,-0.064573166,-0.082979888,0.132247674,0.194196883
AC3_S80,-0.193087853,-0.212671796,-0.066490977,-0.104451048,0.125624599,0.183666251
B1_S81,0.037505175,0.266341542,0.178424788,0.014655633,0.066942959,0.066383523
B2_S82,0.03663188,0.285930619,0.164553567,-0.034386691,0.066551062,0.067643897
B3_S83,0.08823588,0.314295395,0.159031135,-0.058575568,0.059262427,0.006093512
B5_S84,-0.053850688,0.099767576,0.242611695,0.231686227,-0.223508119,0.041917163
B6_S85,-0.053850688,0.099767576,0.242611695,0.231686227,-0.223508119,0.041917163
B7_S86,-0.093178551,0.048023282,0.240381635,0.234552652,-0.174806192,0.022119127
BC1_S87,-0.08160971,0.011958556,0.17336586,0.039557456,-0.001626736,-0.001498222
BC2_S88,-0.083815063,0.018248888,0.180088886,0.045827934,-0.001321142,-0.014672982
BC3_S89,-0.09004161,0.021714548,0.174149293,0.019645151,0.013696046,0.00087702
C1_S90,-0.0594626,-0.03595107,-0.126849051,0.028149775,0.074187868,-0.019362889
C2_S91,0.11428771,0.184244205,-0.108774945,0.162046524,-0.242977488,-0.234190015
C3_S92,0.074761193,0.140739023,-0.097107826,0.166828123,-0.228779606,-0.186373944
C6_S93,0.201099621,0.169067515,-0.119359559,0.028019529,-0.28237384,-0.372250612
C7_S94,0.209428799,0.195705689,-0.145394796,-0.120715849,-0.300814413,-0.335352543
C8_S95,0.228520234,0.243674016,-0.155928717,-0.193499257,-0.357229607,-0.368529185
CC1_S96,-0.171829561,-0.046025681,-0.12547568,-0.104892451,0.20761185,0.148273233
CC2_S97,-0.154548102,-0.057529383,-0.091336074,-0.05087652,0.204638025,0.188470042
CC3_S98,-0.159662496,-0.035441541,-0.118013164,-0.144906622,0.201582005,0.177697332
D1_S99,-0.13966733,-0.104469696,-0.129793039,0.180298079,0.072746357,-0.010165362
D2_S100,-0.163318694,-0.080035335,-0.104044786,0.160825842,0.034617549,-0.008642428
D3_S101,-0.157451329,-0.095353877,-0.12147397,0.179971459,0.077217586,-0.002842623
D5_S102,-0.211328451,0.007642244,-0.135559562,0.241397319,0.049310186,-0.173484646
D7_S103,-0.141608259,0.056719038,-0.143344365,0.228771772,0.033394709,-0.098586775
D8_S104,-0.134797516,0.041604979,-0.124496207,0.222190058,0.001147084,-0.053986109
DC1_S105,-0.028013745,0.019390739,-0.138853245,0.000882665,0.159944114,0.046418841
DC2_S106,-0.051608391,0.023801693,-0.147424435,0.016955423,0.151095292,0.021248546
DC3_S107,-0.187266052,-0.029429259,-0.113506705,0.14356849,0.233225772,0.204055386
E1_S108,0.145764682,-0.193970914,0.120045494,-0.086364626,-0.026835875,-0.091781281
E2_S109,0.101620314,-0.23674921,0.141262387,-0.011092913,-0.022894742,-0.069704055
E4_S110,0.113683042,-0.223032918,0.154360122,-0.019491357,-0.032473265,-0.073248064
E5_S111,0.076715634,-0.144601715,0.133899642,-0.098707166,0.038000541,0.137815284
E6_S112,0.092376877,-0.149181729,0.13878254,-0.109758155,0.042096062,0.176615538
E7_S113,0.116909946,-0.105381794,0.18193857,0.000272371,0.110088033,0.118607351
EC1_S114,0.116909946,-0.105381794,0.18193857,0.000272371,0.110088033,0.118607351
EC2_S115,-0.112929149,-0.235103915,0.213045205,0.075794644,0.156716846,0.131788121
EC3_S116,-0.135626859,-0.226485024,0.203202627,0.086456185,0.157322714,0.140928402
